Species,N50
ancylostoma_caninum,"255,299"
ancylostoma_ceylanicum,"668,412"
ancylostoma_duodenale,"10,112"
angiostrongylus_cantonensis,"43,712"
ascaris_lumbricoides,"55,909"
ascaris_suum,"4,646,302"
brugia_malayi,"14,214,749"
brugia_pahangi,"65,530"
brugia_timori,"4,903"
caenorhabditis_briggsae,"17,485,439"
caenorhabditis_elegans,"17,493,829"
dictyocaulus_viviparus,"225,234"
dirofilaria_immitis,"71,050"
dracunculus_medinensis,"643,251"
haemonchus_contortus,"47,382,676"
heligmosomoides_polygyrus,"179,069"
litomosoides_sigmodontis,"45,733"
loa_loa,"180,288"
meloidogyne_hapla,"37,501"
necator_americanus,"211,860"
nippostrongylus_brasiliensis,"33,446"
onchocerca_ochengi,"16,140"
onchocerca_volvulus,"25,485,961"
panagrellus_redivivus,"262,414"
parascaris_univalens,"1,825,986"
pristionchus_pacificus,"23,915,096"
rhabditophanes_kr3021,"537,195"
romanomermis_culicivorax,"17,583"
steinernema_carpocapsae,"299,566"
strongyloides_ratti,"11,693,564"
strongyloides_stercoralis,"431,128"
strongyloides_venezuelensis,"715,404"
syphacia_muris,"60,614"
thelazia_callipaeda,"50,894"
toxocara_canis,"374,962"
trichinella_spiralis,"6,373,445"
trichuris_muris,"28,941,788"
trichuris_suis,"1,322,386"
wuchereria_bancrofti,"56,656"