acant,Vb,Nematoda
acani,Vc,Nematoda
acey,Vc,Nematoda
acos,Vb,Nematoda
aduo,Vc,Nematoda
alum,IIIb,Nematoda
asim,IIIb,Nematoda
asuu,IIIb,Nematoda
avit,IIIc,Nematoda
bmal,IIIc,Nematoda
bpah,IIIc,Nematoda
btim,IIIc,Nematoda
bxyl,IVb,Nematoda
cbre,Vo,Nematoda
cbri,Vo,Nematoda
cele,Vo,Nematoda
cgol,Vc,Nematoda
cjap,Vo,Nematoda
crem,Vo,Nematoda
csin,Trematoda,Platyhelminthes
csin,Vo,Nematoda
ctro,Vo,Nematoda
dimm,IIIc,Nematoda
dlat,Cestoda,Platyhelminthes
dmed,IIIb,Nematoda
dmel,Outgroup,Outgroup
dviv,Vb,Nematoda
ecan,Cestoda,Platyhelminthes
ecap,Trematoda,Platyhelminthes
eela,IIIc,Nematoda
egra,Cestoda,Platyhelminthes
emul,Cestoda,Platyhelminthes
ever,IIIa,Nematoda
fhep,Trematoda,Platyhelminthes
fhep,Trematoda,Platyhelminthes
gpal,IVb,Nematoda
gpul,IIIc,Nematoda
hbak,Ve,Nematoda
hcon,Va,Nematoda
hdim,Cestoda,Platyhelminthes
hmic,Cestoda,Platyhelminthes
hnan,Cestoda,Platyhelminthes
hpla,Va,Nematoda
hpol,Va,Nematoda
hsap,Outgroup,Outgroup
htae,Cestoda,Platyhelminthes
lloa,IIIc,Nematoda
lsig,IIIc,Nematoda
mcor,Cestoda,Platyhelminthes
mflo,IVb,Nematoda
mhap,IVb,Nematoda
minc,IVb,Nematoda
name,Vc,Nematoda
nbra,Va,Nematoda
oden,Vc,Nematoda
ofle,IIIc,Nematoda
ooch,IIIc,Nematoda
out,Outgroup,Outgroup
ovol,IIIc,Nematoda
pequ,IIIb,Nematoda
pexs,Vo,Nematoda
ppac,Vo,Nematoda
pred,IVb,Nematoda
ptri,IVa,Nematoda
pxen,Other,Platyhelminthes
rcul,I,Nematoda
rkr3,IVa,Nematoda
sbat,I,Nematoda
scur,Trematoda,Platyhelminthes
seri,Cestoda,Platyhelminthes
shae,Trematoda,Platyhelminthes
sjap,Trematoda,Platyhelminthes
sman,Trematoda,Platyhelminthes
smar,Trematoda,Platyhelminthes
smat,Trematoda,Platyhelminthes
smed,Other,Platyhelminthes
smur,IIIa,Nematoda
spap,IVa,Nematoda
srat,IVa,Nematoda
srod,Trematoda,Platyhelminthes
ssol,Cestoda,Platyhelminthes
sste,IVa,Nematoda
sven,IVa,Nematoda
svul,Vc,Nematoda
tasi,Cestoda,Platyhelminthes
tcal,IIIc,Nematoda
tcan,IIIb,Nematoda
tcir,Va,Nematoda
tmur,I,Nematoda
treg,Trematoda,Platyhelminthes
tric,I,Nematoda
tsol,Cestoda,Platyhelminthes
tspi,I,Nematoda
tsui,I,Nematoda
ttri,I,Nematoda
wban,IIIc,Nematoda