Well,Code,MD5-lite,Nic,Zach,Eric
A0001,ZBXDBEXY,NA,0,0,0
A0002,YNRVLZLX,NA,1,2,2
A0003,JKPXGVFE,NA,0,0,1
A0004,RDMQNUPK,NA,0,1,1
B0001,AMXLZFYU,NA,1,4,3
B0002,JZLWNNVM,NA,4,5,4
B0003,HPTERGXP,NA,5,5,5
B0004,GNBQHTBN,NA,2,3,4
C0001,HNVKWCXF,NA,2,3,3
C0002,VUNWXKZU,NA,5,5,5
C0003,TKKVWPZE,NA,5,4,5
C0004,XWDTSLGF,NA,2,3,3
D0001,YWQLJENJ,NA,2,3,4
D0002,CXEWCDSM,NA,5,5,5
D0003,NJLFJBFU,NA,5,5,4
D0004,NEDESASK,NA,3,4,4
E0001,XFZCRSZT,NA,1,2,2
E0002,TQASYJDV,NA,3,5,5
E0003,KYHKREHQ,NA,4,5,4
E0004,XWTMAEXE,NA,1,3,3