Group,Length,Width
None,4.858,1.447
None,4.864,1.364
None,4.918,1.658
None,4.928,1.538
None,4.94,1.591
None,4.944,1.458
None,4.989,1.472
None,5.116,1.594
None,5.148,1.815
None,5.156,1.518
None,5.188,1.664
None,5.241,1.623
None,5.248,1.682
None,5.288,1.758
None,5.291,1.644
None,5.311,1.467
None,5.334,1.679
None,5.339,1.741
None,5.352,1.547
None,5.381,1.686
None,5.427,1.656
None,5.469,1.683
None,5.52,1.608
None,5.534,1.679
None,5.594,1.694
None,5.606,1.716
None,5.618,1.869
None,5.626,1.67
None,5.731,1.866
None,5.752,1.749
None,5.794,1.735
None,5.796,1.666
None,5.796,1.785
None,5.858,1.802
None,6.068,1.744
25 mM,4.398,1.515
25 mM,4.737,1.535
25 mM,4.915,1.626
25 mM,4.982,1.655
25 mM,5.017,1.766
25 mM,5.076,1.665
25 mM,5.126,1.592
25 mM,5.154,1.65
25 mM,5.154,1.807
25 mM,5.173,1.585
25 mM,5.176,1.481
25 mM,5.178,1.63
25 mM,5.2,1.514
25 mM,5.204,1.528
25 mM,5.208,1.521
25 mM,5.237,1.563
25 mM,5.247,1.739
25 mM,5.252,1.734
25 mM,5.254,1.708
25 mM,5.274,1.663
25 mM,5.296,1.573
25 mM,5.328,1.592
25 mM,5.346,1.735
25 mM,5.352,1.747
25 mM,5.364,1.622
25 mM,5.366,1.764
25 mM,5.376,1.822
25 mM,5.382,1.671
25 mM,5.4,1.54
25 mM,5.413,1.576
25 mM,5.448,1.663
25 mM,5.52,1.841
25 mM,5.608,1.764
25 mM,5.627,1.989
25 mM,5.672,1.915
25 mM,5.697,1.779
25 mM,5.756,1.772
25 mM,5.793,1.822
25 mM,5.877,1.888
25 mM,6.158,1.862
5 mM,4.606,1.553
5 mM,4.647,1.641
5 mM,4.795,1.474
5 mM,4.834,1.542
5 mM,4.902,1.609
5 mM,4.91,1.564
5 mM,4.926,1.506
5 mM,4.938,1.472
5 mM,4.96,1.463
5 mM,4.964,1.558
5 mM,4.991,1.716
5 mM,5.084,1.658
5 mM,5.085,1.727
5 mM,5.107,1.641
5 mM,5.11,1.58
5 mM,5.137,1.667
5 mM,5.149,1.538
5 mM,5.155,1.623
5 mM,5.215,1.652
5 mM,5.235,1.566
5 mM,5.253,1.571
5 mM,5.26,1.665
5 mM,5.295,1.708
5 mM,5.318,1.647
5 mM,5.331,1.6
5 mM,5.333,1.799
5 mM,5.378,1.845
5 mM,5.425,1.656
5 mM,5.426,1.588
5 mM,5.531,1.738
5 mM,5.547,1.946
5 mM,5.555,1.625
5 mM,5.678,1.757
5 mM,5.723,1.85
5 mM,5.74,1.661
5 mM,5.81,1.578
5 mM,6.144,1.941
Unfed,4.28,0.659
Unfed,4.316,0.726
Unfed,4.563,0.602
Unfed,4.6,0.774
Unfed,4.708,0.749
Unfed,4.714,0.803
Unfed,4.716,0.644
Unfed,4.729,0.65
Unfed,4.73,0.856
Unfed,4.74,0.667
Unfed,4.761,0.748
Unfed,4.792,0.778
Unfed,4.798,0.786
Unfed,4.9,0.722
Unfed,4.956,0.772
Unfed,4.976,0.65
Unfed,4.978,0.681
Unfed,4.98,0.752
Unfed,4.982,0.711
Unfed,4.984,0.85
Unfed,4.991,0.704
Unfed,5.016,0.837
Unfed,5.04,0.799
Unfed,5.051,0.84
Unfed,5.062,0.77
Unfed,5.08,0.802
Unfed,5.096,0.861
Unfed,5.14,0.96
Unfed,5.193,0.883
Unfed,5.25,0.742
Unfed,5.304,0.869
Unfed,5.44,0.77
Unfed,5.456,0.957
Unfed,5.507,1.134
Unfed,5.541,0.751
Unfed,6.033,0.927