dsRNA,Injection.Day,Stage,Temp,Time,Species,Treatment,Control,T_n,C_n,M_n,O_n,Date,Notes
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,0,0,10,0,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,4,0,3,2,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,6,0,4,0,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,7,0,2,0,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,1,0,7,1,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,7,0,2,0,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,2,0,6,0,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,6,0,1,0,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,2,0,5,1,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,7,1,0,1,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,1,8,0,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,3,0,5,0,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,3,3,0,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,3,0,5,0,20181211,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,0,7,0,0,20181211,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,1,0,7,0,20181211,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,1,2,5,0,20181211,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,4,0,4,0,20181211,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,8,0,1,0,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,3,2,0,4,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,2,0,5,0,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,6,0,1,3,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,5,0,5,0,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,6,0,3,0,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,3,0,7,0,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,6,2,0,1,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,0,4,1,3,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,4,1,2,1,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,3,1,0,4,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,3,5,0,1,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,2,1,4,2,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,2,0,1,6,20190122,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,5,4,0,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,3,4,1,1,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,5,2,0,2,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,9,0,0,0,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,7,0,1,0,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,1,2,7,0,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,2,1,7,0,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,8,0,0,1,20190122,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,2,2,3,2,20190122,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,4,0,1,1,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,5,0,4,0,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,4,0,0,4,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,5,0,2,2,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,4,0,4,0,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,5,0,4,1,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,5,1,3,0,20180206,
lacZ,9,L3,37,30m,Bpahangi,FBS,Water,8,1,2,1,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,4,0,2,2,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,1,6,0,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,3,3,2,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,5,2,1,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,1,2,0,5,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,4,2,3,0,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,2,1,5,0,20180206,
tax-4,9,L3,37,30m,Bpahangi,FBS,Water,5,1,1,2,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,5,0,1,1,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,1,0,3,3,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,0,3,6,1,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,2,2,1,2,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,2,3,2,1,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,0,3,5,0,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,2,1,4,2,20180206,
osm-9,9,L3,37,30m,Bpahangi,FBS,Water,2,3,2,1,20180206,